27279,20893,37416
24207,72213,69042
86441,9654,95843
77919,79422,20428
25312,70222,1153
1063,14529,93316
49412,37296,78812
72588,38064,56797
61817,27097,16480
15830,17032,26491
86640,65651,99424
48205,50055,20363
89376,21856,43318
16481,66105,87671
67120,50556,24323
13477,92637,55641
81701,2419,50416
70132,59408,25197
99752,17615,69999
46400,15605,46781
10548,6663,60467
33511,11045,19243
70645,68849,13787
41396,40613,7302
76218,64273,41636
28776,73160,8160
37839,38087,82693
17530,35918,40641
39368,78964,15771
58157,27800,67353
75481,89797,25781
96489,93032,51264
28396,70100,61520
96213,40606,11350
17765,13269,95504
81751,24450,10003
77064,75295,22027
18189,20281,7427
72780,47523,57016
80343,29891,56709
33803,41264,78950
19538,67724,5758
88033,21316,30228
67611,30549,99068
66320,84938,98289
22480,10527,21197
31322,25942,51998
32462,57889,33712
12319,58674,57930
47436,22091,77905
55006,79775,40257
76878,65640,50002
34927,37505,24757
2012,940,24170
88964,45752,99722
17365,43945,57469
76541,90374,1706
39197,1739,82589
31590,34400,42120
28143,84974,14664
49574,45603,26708
95704,43000,53943
1418,52891,687
23882,34809,94027
684,446,89266
6510,81086,92407
70227,37471,8411
43717,70733,38384
65668,9396,72657
23239,10789,8422
15899,54303,26724
25188,43195,98085
35851,62146,15417
41991,89941,93663
27666,49009,62434
45988,93210,62184
59553,93145,73191
75436,60964,52717
33782,24271,87276
29469,97703,44981
41514,56111,7835
18967,63305,37756
41511,88902,79446
15450,54638,73559
1872,21397,15052
50485,65995,27716
19866,41432,78718
66834,17602,59830
48811,76705,53620
36928,53353,50980
77964,71943,85801
33016,44917,79003
75033,14443,60103
71459,34529,91813
6139,12739,28199
8190,84153,17042
38970,96308,23755
36444,20420,33914
36409,71185,55610
84022,60125,73896
53898,89049,80674
37064,81675,10225
25210,96223,50212
96251,37722,3064
9700,48314,36790
15982,17195,44139
69648,77771,34683
40475,53078,47186
56732,91166,91557
83421,82791,73575
92589,49368,12723
87740,34270,64230
13823,85080,52712
51160,49578,53032
98635,57489,73606
61650,617,79490
33382,2406,74578
69972,37052,79127
38001,4162,60161
59003,46122,99934
87731,46794,34596
44388,38759,98705
67414,45869,25692
61044,84447,73822
89351,71586,74179
47187,81601,44035
63716,3673,62949
14922,90037,9131
42413,41430,59038
19680,22045,22903
97764,74449,61379
79969,91473,98063
48076,66462,71854
17801,33548,40441
82625,27984,57482
62931,10636,55278
66843,84489,96752
23615,14867,79742
63694,81152,68306
84752,45500,17644
29153,18984,23529
66636,95334,46987
60334,89798,6591
70321,39111,81363
92479,80111,21883
98973,13105,38685
13436,27297,45855
65514,85034,55566
67698,50041,67141
6874,39203,505
54024,91856,48494
13719,85960,82495
88388,42451,42686
62536,43488,72944
20988,22803,64357
59938,1608,34990
19198,6608,77691
72716,88532,5164
6159,9447,12125
54738,12072,28831
99192,57866,77187
42838,70324,27792
50549,49510,42504
55198,49622,37019
85344,25550,63912
79922,37745,14271
13330,91930,58441
35276,55060,26226
2612,74500,25251
17362,39168,778
65285,70292,1626
35408,32190,43164
59357,54096,64509
76556,98260,42200
49591,67068,60952
79755,67109,6002
49769,76244,13206
31728,82280,37898
6930,18778,82580
40449,57766,28139
24114,7042,12524
16566,25703,90596
79624,81311,64181
19864,46877,48585
59742,52859,8746
85873,26843,56063
14596,80985,59936
84980,49565,24216
43193,25273,93939
8404,73051,84031
49877,17876,56144
19903,21128,68564
70023,17201,22312
34031,34874,42952
39948,6073,58889
53698,73866,93301
63526,18985,31005
19931,25903,5684
95548,2499,60157
77886,51823,20794
96585,44004,26439
66507,63671,60422
51533,18636,73077
40578,34233,17222
98825,32256,72030
59228,9295,3429
47862,34219,92416
8806,11244,28724
31206,12631,36818
21841,67324,87152
3581,49640,95964
35874,56535,50385
85367,53182,67584
98667,10707,861
69520,65335,44761
82268,81537,86972
99457,28425,7861
17833,63476,79996
73976,57059,14934
85043,64340,72076
95895,15788,57985
66747,40924,96313
86591,879,36912
86766,95680,50445
20504,74023,1538
89286,64970,11781
52402,70682,75488
48580,15858,28041
63552,96251,88926
98693,53364,65861
22260,93527,39198
27336,44407,91909
49334,2966,91079
78979,23425,55876
82752,68288,3170
80850,42039,62881
5736,96720,10817
12698,63267,3549
71964,74810,95421
32186,28024,88948
43547,33395,60842
46439,50971,34822
33976,72552,72831
19631,90794,15940
47620,35087,3065
63940,50829,33786
90398,87761,75965
47134,33311,89600
80057,29395,60215
36554,77537,31655
90368,49499,38839
35878,44493,83934
26848,18562,97062
23139,96915,16857
88706,69905,63647
34249,63841,3734
52290,71682,62926
86867,64031,78306
16148,90246,85569
35614,36968,43537
14480,72731,51021
30411,86398,38905
64864,78481,19043
63094,47099,74342
5483,17913,73396
48584,26646,85525
59731,68014,25265
32429,52255,76410
12811,26022,56052
88582,22480,32556
11875,52295,88105
89306,83630,99453
16628,35765,9034
51877,34246,63271
20713,81988,59825
20153,40067,47914
88001,12070,26092
82837,25540,13485
66812,66365,2924
55972,92270,1205
96401,59237,71428
61062,19408,99348
6885,28675,34571
70657,32757,58744
64714,49475,44206
45754,42076,41771
79130,56759,86298
28353,41101,73921
83096,70289,362
39476,94182,17293
59950,79708,45310
61538,95098,16226
51076,89786,4785
28239,63261,24807
88808,73550,2574
81984,36344,87641
13114,43952,82379
77611,83986,22116
26707,92874,15192
2572,81633,58783
75241,90248,4855
87780,48416,70797
14030,59783,753
8046,70758,77539
89029,15466,60392
31134,87312,64478
97492,40212,34914
78404,16730,13316
99740,67978,98391
65684,66385,78547
54025,53656,71446
78061,9405,13075
24505,32795,62334
67827,35005,10218
25588,3564,58756
57803,49635,70753
36492,26679,35064
94587,7357,10292
15547,69804,86528
22678,13776,13470
25525,47005,35378
34350,60892,92871
80045,63841,69711
37125,70947,30040
13990,15874,59182
56538,79082,39692
71157,33646,9649
26140,75305,58216
69486,66546,37544
24852,5384,51951
70044,95506,69680
87288,7845,85073
48681,85844,45946
330,84762,96957
54076,20200,56827
19520,46159,32826
67572,59381,717
64109,55408,19169
11405,72405,15228
59584,43266,12847
44874,39063,201
24508,85034,47163
87817,85576,49382
71416,19020,50949
41665,29197,38213
7715,77672,8687
85273,95098,5832
76061,28941,64088
91794,50897,37935
39622,73551,36402
39146,75567,36282
24965,18152,4181
14724,18575,25950
11250,27697,95682
65284,63206,39851
85021,83733,60157
42497,38666,12656
39772,44572,23319
70125,51290,69749
14484,21620,10553
3090,3066,39142
28990,14483,30102
